,sentence
786,"Pertama, memberikan pembiayaan untuk berbagai proyek berbasis iklim."
787,"Kedua, menjalankan peran sebagai environment, social, and governance (ESG) advisor bagi nasabah dalam transisi menuju ekonomi rendah karbon."
788,"Adapun, Darmawan juga menyebutkan tujuan besar Bank Mandiri yakni turut menjadikan nasabah sebagai Sustainability Champion melalui praktik bisnis yang impact-driven, dan memperoleh competitive advantage dalam aspek keberlanjutan."
789,"“Serta, mengadopsi global best practice, dan menciptakan model bisnis yang tangguh terhadap perubahan iklim, dengan tujuan untuk mendukung tujuan Net Zero Emission (NZE) Indonesia pada 2060 atau lebih cepat,” sebutnya."
790,"Selain itu, Bank Mandiri juga telah merealisasikan pembiayaan berkelanjutan yang mendukung upaya pengurangan emisi di berbagai sektor prioritas dalam Enhanced Nationally Determined Contributions (ENDC)."
791,"Portofolio berkelanjutan Bank Mandiri telah mencapai Rp 285 triliun atau tumbuh sebesar 12,8% secara tahunan pada September 2024."
792,"“Kami mengajak para pemangku kepentingan, mitra, dan komunitas global untuk bekerja bersama kami, sebagai your preferred financial partner,"" kata Darmawan."
793,"Pertumbuhan tersebut dikontribusikan oleh portofolio sosial sebesar Rp 143 triliun atau tumbuh sebesar 9,4% dan portofolio hijau sebesar Rp 142 triliun atau tumbuh sebesar 16,4%."
794,Hal ini menjadikan Bank Mandiri sebagai Green Financing market leader dengan pangsa pasar di atas 35%.
795,"""Dengan demikian, kita dapat memperbesar dampak positif, mempercepat penurunan emisi, dan mendukung masa depan yang memprioritaskan pertumbuhan ekonomi dan menjaga keseimbangan lingkungan,” ujar Darmawan."
796,Luhut Beberkan Cara Indonesia Bisa Hemat Anggaran hingga 40 Persen dan Dongkrak Ekonomi ke 7 Persen
797,Ketua Dewan Ekonomi Nasional (DEN) Luhut Binsar Pandjaitan menekankan pentingnya digitalisasi dalam birokrasi pemerintahan untuk menghemat anggaran negara serta mendongkrak laju pertumbuhan ekonomi nasional.
798,"Luhut mengatakan, pihaknya telah merekomendasikan kepada Presiden Prabowo Subianto untuk meningkatkan pemanfaatan sistem dan teknologi informasi dalam rangkaian birokrasi pemerintah agar dapat menciptakan efisiensi dan mengurangi praktik korupsi."
799,"""Tidak ada lagi kesepakatan antar orang."
800,"Anda berurusan dengan mesin,"" kata dia, dalam unggahan akun resim Instagram-nya, dikutip Minggu (17/11/2024)."
801,M.
802,"Elgana Mubarokah Ketua PB PASI Luhut Binsar Pandjaitan saat meresmikan fasilitas pusat pelatihan atletik nasional di Pangalengan, Kabupaten Bandung, Jawa Barat, Kamis (10/10/2024)"
803,"Pada saat bersamaan, pemerintah secara rutin perlu melakukan audit untuk semakin meminimalisir potensi praktik suap."
804,"Dengan terciptanya efisiensi dan berkurangnya praktik korupsi, Indonesia dapat menekan biaya investasi, yang nantinya tergambarkan dengan kenaikan skor Incremental Capital Output Ratio (ICOR)."
805,"Pada akhirnya, pemerintah pun dapat menciptakan efisiensi anggaran belanja negara dengan berkurangnya kebutuhan belanja negara yang tidak krusial serta meningkatnya investasi."
806,"""Jika langkah-langkah ini saja berhasil diterapkan, kita bisa menghemat 30% hingga 40% dari anggaran negara,"" ujar Luhut."
807,"""Kita bisa menghemat 30 sampai 35 miliar dollar AS setiap tahunnya,"" sambungnya."
808,"Mantan menteri koordinator bidang kemaritiman dan investasi itu pun bilang, efisiensi anggaran belanja dan peningkatan investasi dapat mengerek laju pertumbuhan ekonomi Indonesia mencapai level 7%."
809,Inovasi dan Rekayasa Kebijakan Ekonomi
810,Penikmat kopi yang nyambi jadi Pengamat Ekonomi
811,Pertumbuhan ekonomi kita terjebak di dalam dilema yang cukup rumit.
812,"Bertumpu pada konsumsi rumah tangga membuat sumber investasi dalam negeri menjadi terbatas karena harus mengorbankan ""saving"" demi konsumsi, yang membuat kekuatan lembaga pembiayaan nasional menjadi ikut terbatas."
813,"Untuk proyek sekelas kereta cepat saja, misalnya, dibutuhkan keroyokan dari beberapa BUMN dan investasi dari China."
814,"Lembaga pembiayaan nasional, baik perbankan, private investment company, atau public-private investment partnership hanya mampu menindaklanjuti proyek-proyek berskala menengah dan kecil."
815,"Jika angkanya sudah puluhan atau bahkan ratusan triliun rupiah, Indonesia harus bergantung kepada pinjaman untuk lembaga pembiayaan di satu sisi (dalam berbagai bentuk: penerbitan surat utang korporasi sampai right issues/penambahan kepemilikan publik) dan pada investasi asing langsung di sisi lain."
816,"Risikonya, investasi menjadi sangat labil secara keuangan dan kepemilikan, yang berimbas pada rendahnya prospek sustainability manfaat yang bisa dinikmati oleh Indonesia di kemudian hari."
817,"Sangat bisa dibayangkan rumitnya masa depan proyek kereta cepat, misalnya, atau jalan tol, yang dipola dengan skema pembiayaan yang sama."
818,"China secara legal-formal dipatok hanya memiliki saham 40%, misalnya, sementara 60% sisanya dimiliki oleh gabungan beberapa BUMN (perbankan dan nonperbankan)."
819,"Masalahnya, asal muasal pembiayaan untuk gabungan BUMN tersebut justru sebagian dari pinjaman yang diperoleh oleh lembaga pembiayaanya, konon dari negara asal yang sama."
820,"Tentu bukan perkara pinjaman korporasi yang berasal dari negara tertentu yang katakanlah agak sensitif secara politik, tapi perkaranya adalah betapa rendahnya tikat “saving” nasional yang membuat Indonesia harus menempuh skema-skema investasi yang kurang kualitatif terhadap perekonomian nasional."
821,Namun ini adalah risiko yang harus ditanggung ketika negara harus mengorbankan “tingkat saving” nasional untuk mendongkrak tingkat konsumsi rumah tangga dan belanja pemerintah sebagai bahan dasar pertumbuhan ekonomi.
822,Amerika adalah salah satu contoh yang polanya mirip dengan kita.
823,"Lembaga-lembaga keuangan di Amerika, termasuk pemerintahan Amerika sendiri, sangat bergantung kepada pembeli surat utang dari seluruh dunia, karena likuiditas keuangan di dalam negeri yang berasal dari tabungan masyarakat sangat terbatas."
824,Indonesia tak berbeda.
825,Pemerintah dengan segala cara berupaya untuk mempertahankan tingkat konsumsi publik sembari melakukan kebijakan kontrasilikal.
826,"Jika komsumsi mulai menggeliat negatif, maka pemerintah akan membuka segala celah injeksi fiskal untuk program-program sosial kesejahteraan atau cash transfer di satu sisi dan menggenjot belanja pemerintah di sisi lain."
827,"Masalahnya, kedua strategi tersebut sama-sama tidak berimbas positif pada peningkatan tabungan publik."
828,"Bahkan justru akan menguras tabungan publik jika realisasinya didominasi produk dan jasa dari luar negeri, yang membuat potensi profit perusahaan domestik lari keluar."
829,"Harapan tersisa hanya kepada tabungan dari 20% kelas atas yang dari tahun ke tahun semakin meningkat, tabungan kelas menengah yang masih khawatir dengan ketidakpastian ekonomi lalu menahan belanja, dan foreign direct investment (FDI) yang akselerasinya masih terbilang standar."
830,"""FEBIS Week 2024"" Matana University Angkat Ekonomi Kreatif untuk Generasi Muda"
831,"Fakultas Bisnis dan Pariwisata Matana University kembali menggelar ""FEBIS Week 2024"" dengan tema “Creative Economy for Sustainable Development"" pada 25 Oktober hingga 2 November 2024."
832,"Febis Week 2024 diinisiasi dan diikuti tiga program studi unggulan, yaitu Manajemen, Akuntansi, dan Pariwisata."
833,Kegiatan bertujuan mendorong generasi muda agar lebih memahami peran ekonomi kreatif dalam pembangunan berkelanjutan.
834,"“Acara rutin tahunan ini diharapkan dapat menjadi inspirasi bagi generasi muda untuk lebih berperan aktif dalam mendukung ekonomi kreatif yang berkelanjutan,"" jelas Annisa Husnul Latifah, Ketua Pelaksana FEBIS Week 2024."
835,"""FEBIS Week 2024 tidak hanya menjadi ajang kompetisi, tetapi juga wadah untuk meningkatkan pengetahuan dan keterampilan dalam ekonomi kreatif serta menjalin kolaborasi antara akademisi, industri, dan generasi muda,” lanjut Annisa."
836,Kegiatan dibuka dengan seminar bertajuk “Empowering Tomorrow's Leaders: Fostering Youth in the Creative Economy for Sustainable Growth”.
837,"Seminar ini dibawakan oleh Sabartua Tampubolon, Direktur Pengembangan Kekayaan Intelektual Industri Kreatif dari Kementerian Pariwisata dan Ekonomi Kreatif."
838,Dia memberikan wawasan inspiratif tentang bagaimana generasi muda dapat berperan dalam mendukung pertumbuhan ekonomi kreatif yang berkelanjutan.
839,"Seminar ini dihadiri siswa-siswi SMA/SMK di Tangerang, mahasiswa, dan dosen di Matana University."
840,"Di hari kedua, acara dilanjutkan dengan workshop bertema “Artful Brews: Creating Coffee Masterpieces” dipandu Reynaldo Mahendra, Head of Training Department PT Boncafe Indonesia."
841,Dalam workshop peserta diajak mendalami ilmu bisnis di bidang food and beverage.
842,"Para peserta diajak membuat latte art, yang saat ini digandrungi anak-anak muda penikmat kopi."
843,"Workshop ini menjadi salah satu sesi favorit karena tidak hanya memberikan pengetahuan praktis, tetapi juga menghadirkan pengalaman langsung bagi para peserta."
844,"Tidak hanya kegiatan seminar dan workshop, FEBIS Week 2024 juga menggelar berbagai kompetisi menarik bagi siswa dari berbagai sekolah di Tangerang dan sekitarnya."
845,Salah satunya adalah kompetisi Esai dan Debat “Sustainable Creative Economic Innovation”.
846,Kompetisi ini menjadi ajang para siswa beradu argumen dan menyampaikan gagasan tentang inovasi ekonomi kreatif yang mendukung keberlanjutan.
847,"Dalam kompetisi ini, SMAN 9 Kota Tangerang berhasil meraih juara pertama, diikuti SMA Tarakanita Gading Serpong, dan juara ketiga diraih SMKN 5 Kabupaten Tangerang."
848,"Selain itu, kompetisi Cerdas Cermat Akuntansi juga menjadi sorotan dalam Febis Week tahun ini."
849,"Tim dari SMK Yadika 1 tim 1 berhasil meraih juara pertama, sementara SMK Dharma Widya berada di posisi kedua, dan tim lain dari SMK Yadika 1 tim 2 menduduki peringkat ketiga."
850,Kompetisi bertujuan mengasah kemampuan siswa dalam bidang akuntansi sekaligus meningkatkan pemahaman tentang peran akuntansi dalam industri kreatif dan pembangunan berkelanjutan.
851,Prodi Manajemen mengadakan kompetisi Desain Produk sebagai wadah bagi siswa menunjukkan keterampilan desain produk inovatif.
852,"Dalam kompetisi ini, SMAN 23 Kabupaten Tangerang meraih juara pertama, diikuti SMA Dian Bangsa sebagai juara kedua, dan SMK Yuppentek 5 Curug sebagai juara ketiga."
853,"Selain penghargaan desain produk terbaik, SMAN 23 Kabupaten Tangerang juga dinobatkan sebagai pemenang booth terbaik."
854,"Semua pemenang diumumkan pada acara final yang diadakan di Tangcity Mall, dimana peserta juga dihibur oleh penampilan dari siswa SMA/SMK, Matana Band, dan pertunjukan dari Unit Kegiatan Mahasiswa Dance Matana yang memeriahkan acara FEBIS Week 2024."
855,"Trump Terpilih Jadi Presiden AS, Bagaimana Dampaknya terhadap Rupiah dan Ekonomi Global?"
856,"Senior Analyst Business Trend, Pertamina Energy Institute, dan Alumnus The London School of Economics and Political Science."
857,"Selepas Donald Trump dipastikan memenangi Pemilihan Presiden Amerika Serikat (AS) 2024, muncul kekhawatiran dengan kebijakan yang bakal diambil oleh pemerintahannya di periode kedua ini."
858,"Pasalnya, Trump berencana menaikkan tarif impor menjadi 10-20% dan tarif pungutan dari China hingga 60%."
859,"Di sisi fiskal, Trump kembali ingin menurunkan tarif pajak korporat lebih jauh ke level 15%."
860,"Sebelumnya, pajak korporat sudah diturunkan dari 35% ke 21% pada 2017."
861,"Pemerintahan Trump juga akan mempertahankan pemotongan pajak yang telah dilakukan pada 2017, seperti penurunan pajak penghasilan perorangan di hampir semua level penghasilan."
862,"Meskipun sebagian dari penurunan pajak tersebut akan diimbangi dengan peningkatan tarif, menurut Committee for a Responsible Federal Budget (CRFB), kebijakan itu diperkirakan akan meningkatkan defisit fiskal dari 6% produk domestik bruto (PDB) menjadi 8% PDB."
863,"Masih menurut CRFB, kebijakan ekonomi Trump bakal menambah utang nasional sebesar 7,5 triliun dollar AS."
864,Beberapa institusi bahkan memprediksi kenaikan utangnya mencapai dua kali lipat dari angka saat ini.
865,"Saat hasil polling mulai menunjukkan kemenangan Trump, pasar ekuitas menguat, yields meningkat, dan indeks dollar naik."
866,Peningkatan yield ini mengantisipasi inflasi akibat kenaikan tarif dan lonjakan term premium akibat kekhawatiran pelebaran defisit fiskal.
867,"Saat ini, yield Treasury 10 tahun mencapai 4,4%, sekitar 80 basis poin lebih tinggi dari level pada pertengahan September 2024 setelah The Fed memangkas 50 basis poin."
868,Angka ini merupakan level tertinggi dalam tiga bulan terakhir.
869,Kenaikan ini sebagian besar dapat dijelaskan oleh kenaikan term premium sebesar 50 basis poin dari posisi hampir 0 pada periode September 2024.
870,Peningkatan term premium ini mencerminkan peningkatan risiko perubahan suku bunga jangka panjang yang diantisipasi pasar akibat kekhawatiran pelebaran defisit fiskal.
871,"Setelah pemotongan suku bunga The Fed sebesar 25 basis poin pada Kamis (7/11/2024), yield hanya turun sedikit ke level 4,3%."
872,"Dalam jangka pendek, dollar AS kemungkinan akan menguat sebagai dampak dari kebijakan perdagangan, moneter, fiskal, dan sentimen risiko investor."
873,"Pertama, dari kebijakan perdagangan pemerintahan Trump, kenaikan tarif cenderung memperkuat dollar AS."
874,"Meskipun perdagangan global bisa turun signifikan akibat kenaikan tarif, ekonomi AS cenderung lebih tahan terhadap penurunan ekonomi global karena ukurannya yang besar dan lebih terdiversifikasi ketimbang negara lain."
875,"Kedua, kebijakan fiskal yang pro-pertumbuhan akan cenderung lebih longgar."
876,"Namun, jika tekanan inflasi muncul akibat kebijakan tarif, hal ini dapat menghambat kebijakan moneter yang longgar."
877,"Bila hal tersebut terjadi, pemerintahan Trump mungkin akan menerapkan kebijakan moneter yang lebih ketat untuk mengendalikan inflasi."
878,"Berdasarkan harga Fed Fund Futures pada Senin (11/11/2024) yang mencerminkan ekspektasi pasar saat ini, probabilitas pemotongan suku bunga The Fed sebesar 25 basis poin pada rapat Federal Open Market Committee (FOMC) Desember 2024 adalah sekitar 45%."
879,"Ini berarti, probabilitas suku bunga tidak turun lebih tinggi."
880,"Sementara itu, pada 2025, FOMC memproyeksikan pemotongan sebesar 100 basis poin."
881,"Meski demikian, potensi penurunan suku bunga pada 2025 mungkin lebih kecil karena kebijakan pro-pertumbuhan yang disertai tekanan inflasi."
882,"Undang Pakar dan Menteri Komdigi Bahas Judol, Golkar: Rp 600 Triliun Melayang Tanpa Dampak Ekonomi"
883,"Ketua Fraksi Partai Golkar di DPR RI Sarmuji menegaskan, perputaran uang yang sangat besar dalam judi online tidak memberikan dampak positif pada perekonomian nasional."
884,"Ia menyebutkan bahwa judi online menyerap sekitar Rp 600 triliun dari uang masyarakat, tetapi sebagian besar dari jumlah tersebut justru mengalir ke luar negeri."
885,"""Judi online menyerap Rp 600 triliun uang masyarakat dan sebagian besarnya ternyata tidak ke dalam negeri, tetapi ke luar negeri,"" kata Sarmuji dalam diskusi fraksi bersama pakar dan Menteri Komunikasi dan Digital (Komdigi) Meutya Hafid, Selasa (12/11/2024)."
886,"Lebih lanjut, Sarmuji menekankan, meskipun peredaran uang dalam judi online cukup besar, hal ini tidak menimbulkan efek berganda (multiplier effect) bagi ekonomi Indonesia."
887,"Menurutnya, judi online justru sangat berdampak negatif pada perekonomian nasional dengan perputaran uang sebesar itu."
888,Ia pun meminta aparat penegak hukum untuk memberantas judi online secara tegas tanpa pandang bulu.
889,"Di sisi lain, pakar teknologi informasi dan Chairman Communication & Information System Security Research Center (Cissrec) Pratama Persadha berpendapat bahwa tindakan kuratif bukanlah satu-satunya cara untuk memberantas judi online."
890,"Ia menilai, upaya Kementerian Komdigi untuk memutus akses terhadap judi online tidak efektif karena tidak langsung menyasar server platform judi tersebut."
891,Beberapa situs judi online bahkan menyediakan layanan unduh VPN untuk mengelabuinya.
892,"""Jadi, selama ini yang kita lakukan itu sudah cukup baik tetapi tidak akan bisa menghentikan judi online ini,"" ujar Pratama dalam diskusi yang sama."
893,"Ia memberikan contoh bahwa tindakan pemerintah saat ini hanya sebatas mematikan televisi yang menyiarkan sabung ayam di stadion, padahal pemerintah seharusnya menindak gelaran sabung ayam tersebut."
894,"""Itu yang sampai saat ini belum dilakukan,"" tambahnya."
895,"Sementara itu, Menteri Komdigi Meutya Hafid mengaku bahwa pihaknya masih perlu mengkaji lebih jauh terkait rekomendasi tersebut."
896,Ia khawatir pemerintah tidak memiliki kewenangan untuk menindaklanjuti hingga mematikan server judi online.
897,"""Kalau untuk server memang kita harus teliti lagi, Pak, apakah Komdigi punya kewenangan sampai mematikan sebuah server."
898,"Karena kompleksitas dari judi online tersebut,"" kata Meutya."
